名称,户型,面积,朝向,是否装修,有无电梯,总价,单价,产权信息
新房源，主力推荐，单价一万一不到，少有五房,5室2厅,151.33平米,南 北,精装,高楼层(共6层),162,10706,共有
启航社河东 1室1厅 南,1室1厅,55平米,南,精装,中楼层(共11层),91,16546,非共有
诚心出售 带10平米自库 两房通透户型 精装修中间楼层,2室2厅,67.84平米,南,精装,中楼层(共11层),125,18426,非共有
品质小区，精装修，看房有钥匙哦，欢迎各位看房！,2室2厅,45.4平米,东北,精装,高楼层(共22层),69.9,15397,共有
21世纪强烈推荐 景观视野 精装两房诚意出售 看房随时,2室1厅,79.1平米,南,精装,中楼层(共32层),189.8,23995,非共有
看房有钥匙，别墅区里的住宅 旁边就是荣盛 旭辉和庭,2室1厅,66.8平米,南,简装,中楼层(共5层),122,18264,共有
和昌熙溪里 墅式洋房，中上楼层，南北通.透，诚心出售,3室2厅,101.51平米,南 北,毛坯,中楼层(共10层),268,26402,非共有
此房税收少 采光好 拎包入住 楼层好,2室2厅,98.96平米,南,精装,中楼层(共5层),210,21221,共有
旭辉打造，中间位置，联排产品，大开间，看房方便！,4室3厅,264平米,南,毛坯,3层,1400,53031,共有
合景瑜翠园三房，三开间朝南，小区中间位置中间楼层。,3室2厅,93平米,南,简装,中楼层(共17层),158,16990,共有
石湖东路地铁口 阳光水榭 精装一室 满五唯一,1室2厅,64.58平米,南,精装,高楼层(共11层),158,24466,非共有
首开电梯洋房，楼层户型很漂亮，诚意出售！,3室2厅,91平米,南,简装,中楼层(共11层),215,23627,非共有
启航社河东 配套设施齐全 交通 便利,2室1厅,48.59平米,南,简装,中楼层(共5层),94,19346,非共有
满五唯一，楼层好，视野宽阔，可以一览独墅湖湖景,1室1厅,60.49平米,南 北,精装,高楼层(共20层),176,29096,非共有
11号地铁站百米，小贺推荐，精致2房，楼层佳，,2室1厅,71平米,南,精装,高楼层(共30层),148,20846,共有
地铁4号线，通透性好，精装2房，楼层好，看房有钥匙！,2室2厅,91.31平米,南,精装,中楼层(共17层),205,22451,共有
金融街站  东晶国际花园品质社区 中间楼层 看房有钥匙,2室2厅,82.58平米,南,精装,高楼层(共11层),175,21192,非共有
古镇旁 大两房 有电梯 104平 单价低 房东诚心出售,2室2厅,104.41平米,南 北,毛坯,中楼层(共11层),110,10535,共有
启航社河东，江景房，南北通，紧挨着易买得商圈,2室1厅,73.99平米,南 北,精装,低楼层(共11层),135,18246,非共有
精装一室户  中间楼层 诚心出售,1室1厅,34.93平米,南,精装,中楼层(共24层),82.5,23619,共有
敦煌四区，通透小户，房东诚意出售。,1室1厅,46.08平米,南,简装,中楼层(共4层),128.5,27887,共有
彩香二村 3室1厅 南,3室1厅,68平米,南,简装,高楼层(共7层),146.5,21545,共有
真诚推荐。就差你看中出价了。喜欢的朋友看看房子吧,2室1厅,81平米,南 北,简装,高楼层(共33层),120,14815,共有
婚装自住，阳光充足，精心设计 63平做出90平储物效果,2室1厅,63.34平米,南,精装,低楼层(共18层),213,33629,共有
山水华庭  全新精装2房 看图 拎宝入住 换房急售,2室1厅,80.25平米,南,精装,中楼层(共11层),187,23303,共有
彩香一村二区中间楼层朝南户型交通便利,2室1厅,68.39平米,南,精装,6层,164.6,24068,非共有
满二电梯洋房中上楼层采光好，成熟小区生活方便,2室2厅,72.84平米,南,简装,中楼层(共11层),139,19083,非共有
玲珑湾低总价小户型，户型炒鸡好，诚意出售,1室1厅,58.3平米,南,精装,中楼层(共11层),378,64838,共有
全新小区， 全新装修自住保养好,3室1厅,105.78平米,南 东南,精装,低楼层(共30层),255,24107,共有
店长推荐新上毛坯三联排中间户，装修风格您来安排！,6室2厅,299.63平米,南,毛坯,3层,1630,54401,共有
小区在地铁口，好楼层视野开阔，上学方便。,2室2厅,73.7平米,南,精装,中楼层(共6层),215,29173,共有
伴读好房！中高区满二税少，刚需两室带装修。,2室2厅,65平米,南,简装,中楼层(共31层),128,19693,非共有
昆山花园 2室1厅 南,2室1厅,89平米,南,精装,高楼层(共6层),150,16854,非共有
宝祥新上通透2房，中间楼层满5年，边户采光好 诚心售,2室1厅,70平米,南,简装,中楼层(共30层),136,19429,非共有
新出房源  房子满2年 精装修 业主诚意出售  看房方便,2室1厅,70.78平米,南,精装,33层,146,20628,共有
景城大4房，同户型 小区仅这一套，不一样的体验格局,4室2厅,150.04平米,南,精装,高楼层(共30层),860,57319,共有
此房，楼层好视野宽阔，采光充足。楼的位置间距大！,2室2厅,88.69平米,南,毛坯,低楼层(共34层),143,16124,共有
万达晶座，房东急售，精装修，朝东，大窗户，59万9,1室1厅,42.36平米,东,精装,低楼层(共27层),59.5,14047,非共有
鸿运公馆 47平毛坯出售 看房联系小宋,1室1厅,46平米,南,毛坯,中楼层(共12层),50,10870,非共有
姑苏地铁口精装公寓，诚心出售，家电家具全留。,1室1厅,52.79平米,南,精装,高楼层(共12层),60,11366,共有
此房满五，精装修，采光佳，户型通透，,2室2厅,60.77平米,南,精装,高楼层(共4层),95,15633,非共有
龙之天地 2室2厅 南 北,2室2厅,89.26平米,南 北,简装,中楼层(共23层),125,14005,共有
中梁香缇毛坯公寓出售，看房有钥匙,2室2厅,48.62平米,南 北,毛坯,低楼层(共19层),123,25299,非共有
新苑村 带独库带租的车位，中上楼层采光也比较好,3室2厅,96平米,南,简装,中楼层(共5层),208.6,21730,共有
房子楼层较好，中间户，前后采光无遮挡.满2年,3室2厅,88.8平米,南,简装,高楼层(共32层),198,22298,共有
千灯裕花园 3室2厅 南,3室2厅,91平米,南,精装,中楼层(共27层),125,13737,非共有
房子满五唯一 精装自住 无贷款 学可用 价格真实,3室2厅,89.79平米,南,精装,中楼层(共18层),171,19045,非共有
昆城景苑 小三房 从新装修景观楼层,3室2厅,104平米,南,精装,高楼层(共33层),245,23558,非共有
园林社区 装修19万小3房 户型方正 阳光视野刺眼,3室2厅,95平米,南,精装,中楼层(共27层),145,15264,非共有
高品质小区，复式房，南北通透，满两年，精装修,4室2厅,136.88平米,南 北,精装,低楼层(共18层),315,23013,共有
满五唯一 简装 总价低 房东自住诚心出售,3室1厅,68.89平米,南 北,简装,高楼层(共6层),135.7,19699,非共有
恒润新新家园 一楼带大院子 自住精装修 诚意出售,3室2厅,129.39平米,南,精装,6层,365,28210,非共有
同小区同户型中十分好的价格，业主换房急卖,4室2厅,145.76平米,南,精装,中楼层(共12层),735,50426,共有
精装修35万！保养10成新未入住！全明东边套3面采光！,3室2厅,122平米,东 东南 南,精装,高楼层(共16层),175,14345,非共有
新毛家花园，位置好，采光好，房东诚意出售，看房约,3室2厅,92.7平米,南,简装,中楼层(共5层),225,24272,共有
合景九期 精装修四开间朝南 三房全明户型 视野开阔。,3室2厅,89.03平米,南,精装,中楼层(共22层),240,26958,共有
中海凤凰熙岸二期 精心设计装修 房东急售 价格可谈,3室2厅,92.3平米,南,精装,低楼层(共20层),338,36620,共有
彩虹新村（二区） 3室1厅 南,3室1厅,68.2平米,南,精装,6层,156,22874,共有
娄葑欧洲花园大三房出售，带有车位，业主诚意出售,3室2厅,117.54平米,南,精装,中楼层(共6层),325,27651,非共有
全新毛坯、品质住宅、人车分流、户型正气、采光充足!,4室2厅,254.73平米,南,毛坯,低楼层(共18层),558,21906,共有
中海国际社区 （二区） 户型好 采光好  优质房源,2室1厅,93.74平米,南,精装,中楼层(共46层),345,36804,非共有
精装修，两房朝南满2年，位置好，地段不错！,4室1厅,92.45平米,南,精装,高楼层(共5层),285,30828,共有
和美8栋，两室精装，位置安静，楼层好,2室1厅,69.29平米,南 北,精装,中楼层(共30层),146,21071,共有
地铁公寓，民用水电，自住精装，无需社保就能买,2室2厅,50.78平米,南,精装,低楼层(共12层),75,14770,非共有
总高12楼，中间楼层 视野开阔 20多万装修 新小区,3室2厅,90.06平米,南 北,精装,中楼层(共12层),185,20542,非共有
满五唯一，南北两房，楼层好，看房方便,2室2厅,85.76平米,南 北,毛坯,低楼层(共18层),160,18657,非共有
宜家永旺旁，惠丰花园二区70平小户，二手买进电梯房急,2室2厅,70.03平米,南,精装,低楼层(共18层),139,19849,共有
云顶花园  随时看房  价格好谈   急卖急卖,2室2厅,113.37平米,东南 南,精装,中楼层(共15层),275,24257,非共有
奥体旁次新小区，三开间朝南，采光全天，业主诚意出售,3室2厅,86.55平米,南,精装,高楼层(共18层),315,36396,共有
低楼层，诚心出售，全明小户型，有钥匙,2室1厅,68.72平米,南,简装,低楼层(共6层),161,23429,共有
新！少有精装4房2卫，阳光充足，到宜家，永旺方便！,4室1厅,121.41平米,南,精装,低楼层(共26层),249.8,20575,非共有
精装修1房1厅，中间楼层，南北向，满五唯一，税费少,1室1厅,46.79平米,东,精装,高楼层(共12层),67,14320,非共有
御苑家园高层 南北通透 方便停车 随时可看 单价醉低,3室2厅,126.26平米,南 北,精装,低楼层(共17层),215,17029,非共有
此房满二唯一，南北通透，采光极好，带车位,3室2厅,93.82平米,南 北,毛坯,高楼层(共10层),193.8,20657,非共有
此房满两年，婚装两房，诚心出售，全天采光，毫无遮挡,2室2厅,82.45平米,南,精装,高楼层(共24层),195,23651,共有
地铁口 万达广场精装一室一厅 业主诚售,1室1厅,53.72平米,南,精装,低楼层(共29层),137,25503,共有
轻轨旁 正三房 有车位 楼位好 户型正 宜居家 含家私,3室2厅,111.35平米,南,精装,中楼层(共9层),349.5,31388,非共有
星光耀一期装修三房 楼层采光超好，业主置换诚心出售,3室1厅,90.25平米,南 北,精装,高楼层(共36层),217,24045,非共有
小区前排小高层，楼层位置好。品牌家具全留拎包入住,2室2厅,94.56平米,南,精装,高楼层(共11层),405,42830,非共有
地铁口200米精装大3房 满5唯一 家私齐全拎包即入住,3室2厅,112.5平米,南,精装,中楼层(共30层),194.5,17289,共有
纯公积金两成首付，魔幻复式，看房方便，业主急售,2室1厅,75.24平米,西,简装,高楼层(共12层),100,13291,共有
合景十期   房东自住  精装修,2室1厅,45.3平米,北,精装,中楼层(共19层),59,13025,非共有
简装二房朝南 采光毫无遮挡 带大车库 房东诚意出售,2室2厅,78.79平米,南,简装,中楼层(共6层),149,18912,共有
准签温馨3房2厅 地暖1拖3空调 中层采光棒 品质入住,3室2厅,86.5平米,南,精装,中楼层(共26层),209.9,24266,共有
此房满两年，楼层好采光无遮挡，刚需优选,2室2厅,80.27平米,南,精装,高楼层(共25层),189,23546,共有
新上友联一村两居室装修好，装修公司精心设计全明户型,2室1厅,66.8平米,南 北,精装,高楼层(共6层),164.5,24626,非共有
挑高复式2房，视野好，20万装修。,2室1厅,45平米,北,精装,中楼层(共22层),62.5,13889,非共有
兰亭御园  平层4房 直视大渔湾   诚心出售,4室2厅,143平米,南,毛坯,中楼层(共26层),420,29371,非共有
此房满五年 税少 空置 地理位置好 出行方便,3室1厅,86平米,南,简装,低楼层(共6层),121,14070,共有
新上房源！锦丽苑小户，多层带电梯，空关有钥匙,1室1厅,58平米,东,精装,高楼层(共6层),349,60173,共有
中环西线  次新小区  精装修  业主诚心出售,2室1厅,77.63平米,南,精装,中楼层(共27层),154.8,19941,共有
伟业迎春乐家 精装修两房 全明格局 视野开阔,2室2厅,88.6平米,南,精装,高楼层(共18层),163.9,18499,非共有
诚售！    带10平自行车库  加买断车位   采光无遮挡,3室2厅,73平米,南,精装,6层,126,17261,共有
三元三村 两室一厅 价格便宜 采光充足 属于全明户型,2室1厅,54平米,南,简装,6层,118,21852,共有
单价20000，两房朝南采光好，出门大润发.,2室1厅,58.74平米,南,简装,高楼层(共6层),117,19919,共有
星湖花海 2室1厅 南,2室1厅,34平米,南,简装,中楼层(共8层),45,13236,非共有
高铁新城板块 地铁2号线站点骑河站距离地铁,3室2厅,86.18平米,南,精装,中楼层(共33层),200,23208,共有
精装修的房子，带大车库，精装的，看房比较方便,2室2厅,69.77平米,南,精装,中楼层(共5层),148.8,21328,共有
滨江汇 3室2厅 东南,3室2厅,87.95平米,东南,毛坯,33层,170,19330,共有
城西三房！天地华城！超大阳台；培本娄江可用；有钥匙,3室2厅,116平米,南,简装,中楼层(共11层),330,28449,非共有
康佳中户  户型方正    看房预约,3室2厅,94平米,南,简装,中楼层(共5层),225,23937,非共有
太湖边复式洋房,自带露天大阳台，自行车车库,3室2厅,111.98平米,南,简装,高楼层(共4层),143,12771,共有
伟业银座 3室1厅 南,3室1厅,102.7平米,南,简装,低楼层(共15层),127,12367,非共有
大三房朝南、双阳台、独立车库！,3室2厅,119.2平米,南,简装,中楼层(共6层),255,21393,共有
鑫鑫国际复式二房 紧靠地铁7号线高层实现开阔刚需首看,2室2厅,35.65平米,北,精装,高楼层(共20层),48.8,13689,非共有
香山花园 2室2厅 南,2室2厅,75.74平米,南,精装,低楼层(共4层),120,15844,共有
三楼复式采光无任何遮挡 近菜场 边上就是汽车停车场,3室1厅,82平米,南,简装,低楼层(共3层),175,21342,非共有
急卖！急卖！急卖！户型好三房，含买断车位，,3室2厅,109平米,南,精装,高楼层(共10层),242,22202,共有
南北通，采光好，交通便利，三水萧林正格局,4室2厅,140.4平米,南 北,毛坯,低楼层(共26层),295,21012,共有
石湖星城 精装三房 2\4石湖东路站 双碧波 带车位车库,3室2厅,105平米,南,精装,高楼层(共10层),255,24286,共有
姑苏 相门新村 地铁1号旁 双平江 精装,3室1厅,68.05平米,南,精装,中楼层(共6层),202,29685,共有
此房是纯毛坯房 高层复式可根据自己喜好装修,5室2厅,151.33平米,南,毛坯,高楼层(共11层),440,29076,非共有
中海御景湾，三开间朝南户型，保养新，采光足,3室1厅,87.18平米,南,精装,中楼层(共39层),202,23171,非共有
新上纯2楼3房 全明户型 有车库 北边小公园 位置好,3室1厅,77.4平米,南,简装,低楼层(共6层),195.5,25259,非共有
香城二区精装大三房两卫，通透户型，带自库满五年唯一,3室2厅,120.57平米,南 北,精装,中楼层(共5层),263,21814,共有
新加精装修三房，中间楼层，拎包入住,3室2厅,104.6平米,南,精装,中楼层(共5层),470,44934,共有
经典大两房，简单装修，可按自己心意进行装修,2室1厅,94.1平米,南,简装,低楼层(共11层),197,20936,非共有
通透格局，楼层高，视野宽阔，采光充足，配套设施齐全,3室1厅,108.17平米,南,毛坯,低楼层(共30层),209,19322,共有
望湖湾三室 全新智能家居 未住人 全屋落地窗 采光无忧,3室2厅,125.5平米,南,精装,低楼层(共25层),345,27491,共有
多层三房。中间楼层，诚心出售，看好价格可谈,3室1厅,76.3平米,南,毛坯,中楼层(共6层),164.5,21560,共有
东林里 全新毛坯三房，三开间朝南，全明户型四楼,3室2厅,111.48平米,南,毛坯,中楼层(共6层),360,32293,共有
满两年 精装四房 诚心出售 随时看房,4室2厅,122平米,南 北,精装,中楼层(共8层),308,25246,共有
新上学府花苑，精装修，楼层好,采光好,3室2厅,99.97平米,南,精装,中楼层(共5层),228,22807,非共有
绿地三期精装  高楼层 视野采光好 房东诚售,3室1厅,110平米,南,精装,中楼层(共31层),338,30728,非共有
玉成二期 全新毛坯 从未入住  采光刺眼 看房方便,3室2厅,134平米,南,毛坯,低楼层(共24层),216,16120,共有
急售长安府精装四房两卫楼层好户型方正满二车位原价卖,4室2厅,143平米,南,精装,高楼层(共32层),308,21539,共有
苏苑新村，业主诚心出售  ，随时可签约,3室1厅,69平米,南,精装,中楼层(共5层),179,25943,共有
东港二村 顶楼复式 户型方正 全新装修 全明户型,4室3厅,143平米,南 北,精装,高楼层(共6层),336,23497,共有
万科开发，万科物业，精装交付，拎包入住,3室2厅,85平米,南,精装,高楼层(共9层),236,27765,非共有
名馨花园满五唯一 大阳台落地窗 诚心出售,3室2厅,131.44平米,南,精装,中楼层(共11层),458,34845,非共有
十全街散盘 3室1厅 南,3室1厅,81.55平米,南,简装,中楼层(共6层),299,36665,共有
正看公园景观的三房户型。精装，楼下是地铁站点,3室2厅,112平米,南,精装,高楼层(共25层),112.8,10072,共有
急售好房 精装空置  中间楼层 满五年唯一省税,3室2厅,92.64平米,南 北,精装,低楼层(共33层),228,24612,共有
精装三居室，采光好，多余房产，有钥匙，诚心急售！,3室1厅,86.25平米,南,精装,中楼层(共6层),218,25276,共有
必买好房，位置好，楼层佳，价格真实方便看满二唯一！,3室2厅,91.27平米,南,精装,中楼层(共34层),198,21694,非共有
福星小区 自住精装 拎包入住 环境幽静,3室1厅,81.27平米,南,精装,低楼层(共6层),185,22764,共有
长江花园二区，三室一厅 带朝南独库   157万,3室1厅,77.78平米,南 北,毛坯,中楼层(共5层),156,20057,共有
尹山湖中海双湾锦园大三房诚意出售,3室2厅,106.9平米,南,简装,高楼层(共32层),275,25725,共有
首开悦澜湾 3室2厅 南,3室2厅,89.86平米,南,精装,中楼层(共18层),296,32941,共有
次新小区，电梯洋房，通透四房二卫，楼层好视野开阔,4室2厅,112平米,南,简装,中楼层(共9层),285,25447,共有
大平层，精装四房，满五唯一，税费低，全南户型采光好,4室2厅,143平米,南,精装,高楼层(共18层),286,20000,共有
3地铁口房源，无老人居住3房233万采光刺眼有车库车位,3室2厅,95.38平米,南,精装,高楼层(共6层),230,24115,共有
边户洋房，满两年，房东诚心出售！,4室2厅,94平米,南,精装,高楼层(共9层),239,25426,共有
益锦苑新上低楼层三房精装修保养好.带独库.,3室2厅,100.13平米,南,精装,低楼层(共5层),228,22771,共有
仁恒高品质，高层精装大平层，可拎包入住，科技住宅,4室2厅,185平米,南 北,精装,高楼层(共30层),850,45946,共有
中海御景湾毛坯三房 中高楼层 采光好,3室2厅,84.81平米,南,简装,中楼层(共39层),195,22993,共有
园区地铁三号线 ，跨塘派出所后面， 精品，低总价三房,3室2厅,105.43平米,南,精装,低楼层(共16层),203.9,19340,共有
精装修自住 全屋硅藻泥 中上楼层 位置好,3室2厅,98.52平米,南,精装,高楼层(共24层),248,25173,非共有
绿地都会雅苑，毛坯三房，大润发环球港天虹广场,3室1厅,97平米,南,毛坯,低楼层(共32层),222,22887,共有
纯毛坯四居业主诚心出售 看房找小荣 急售,4室2厅,110平米,南 北,毛坯,低楼层(共18层),225,20455,共有
2.4.6号线三轨交，临万达广场，家乐福 苏州火车站,1室1厅,21.27平米,北,精装,中楼层(共22层),46.9,22050,共有
本小区唯 一带露台的房子  地铁婚房拎包入住,2室1厅,89平米,南,精装,低楼层(共34层),235,26405,共有
中层精装小户 低总价 近桐泾公园华发公园胥江路地铁口,2室1厅,65.33平米,南,精装,中楼层(共6层),177,27094,共有
业主急售，采光充足，交通便利，生活方便，位置优越，,3室1厅,83.12平米,南,简装,高楼层(共4层),350,42108,共有
此房满二年，南北向，楼层好，视野开阔，采光充足,2室1厅,55.6平米,南,精装,高楼层(共6层),120,21583,非共有
满二年 万科经典两房，环境好，专属管家，自带步行街,2室1厅,65.89平米,南,精装,高楼层(共34层),123,18668,共有
平直振华  精装修  小户型  拎包入住,2室1厅,53.2平米,南,精装,低楼层(共3层),237,44549,共有
上海裕花园精装修房源，价格优美保养良好，拎包入住！,2室2厅,92.83平米,南,精装,中楼层(共28层),191.5,20630,共有
夏驾园湿地公园小区，楼层中间诚意出售,2室2厅,85.14平米,南,毛坯,中楼层(共7层),114,13390,共有
此房满五不唯一 房屋方正 阳光充足 楼层好,1室1厅,50.51平米,南,精装,高楼层(共11层),80.5,15938,非共有
玉盘家园小户型两室一厅带车库诚意出售,2室1厅,63.86平米,南 北,简装,中楼层(共5层),108,16912,共有
装修很不错，房东自住 楼层好  生活便利,2室1厅,61.23平米,南 北,精装,中楼层(共6层),130,21232,共有
业主自住一线江景房满5年唯一，省个税，精装房,2室2厅,80平米,南 北,精装,高楼层(共18层),146,18250,非共有
裕景园业主自住，精装修两房，诚心出售,2室2厅,82平米,南,精装,高楼层(共34层),148,18049,共有
温哥华简单装修复式两房，满五唯一,2室1厅,98.69平米,南 北,简装,高楼层(共9层),75,7600,非共有
精装自住，东边户，采光充足，楼层位置号，无遮挡,2室1厅,108.52平米,南,精装,中楼层(共17层),175,16127,非共有
橙家 精装三房 满二年 采光无遮挡，随时看房，诚售,3室2厅,78.38平米,南,精装,中楼层(共27层),171,21817,非共有
精装小三房   有个十来个平方车库  满2年,3室2厅,89.47平米,南,精装,高楼层(共6层),148,16542,非共有
优质人车分流社区！装修保养9成新！首付30万！,2室2厅,87.11平米,南,精装,中楼层(共17层),115,13202,共有
房东换房诚心卖  两房朝南  自住装修  我跟房东熟的,2室1厅,50平米,南,精装,高楼层(共6层),118,23600,非共有
置换急销，好楼层满五附带车库！南北通透！,2室2厅,96.83平米,南 北,精装,中楼层(共6层),149.8,15471,非共有
有轨一号线旁 招商婚装两房  景观楼层 家具家电全留,2室1厅,78平米,南 北,精装,高楼层(共18层),175,22436,共有
红树湾花园 地铁无缝对接 精装边户 满二 随时看房,3室2厅,87.67平米,南 北,精装,中楼层(共33层),200,22813,非共有
此房满五唯一，中间楼层采光好，朝南两房，居住舒适,2室2厅,93.32平米,南,精装,25层,349.5,37452,共有
满五唯一，非顶楼，总价低的小三房，房东诚心出售,3室1厅,63.05平米,南,精装,6层,140,22205,非共有
红蚂蚁装修次顶楼位置前排无遮挡诚意出售有车位急售,2室2厅,82.54平米,南,精装,高楼层(共16层),289,35014,非共有
此房满五唯一，大3房，有储藏室，采光好，诚心售,3室2厅,137.89平米,南 北,精装,低楼层(共11层),265,19219,共有
活力岛地铁口旁水韵花都30万精装两房，满两年诚意出售,2室2厅,89.33平米,南,精装,中楼层(共15层),228,25524,共有
统装工整两室！保养好！满五唯①税费低！俯瞰奥体！,2室2厅,82.31平米,南,精装,33层,343,41672,非共有
房东自住 精装两房，户型格局好，视野开阔,2室2厅,79.2平米,南,精装,低楼层(共18层),245,30935,共有
玫瑰久久出门地铁 精装两房 带自行车库 看房方便,2室2厅,86.22平米,南 北,精装,中楼层(共5层),195,22617,共有
园区朗诗国际 凤凰楼层 通透恒温大两房 小区中间,2室2厅,97.56平米,南,精装,高楼层(共11层),465,47663,共有
远离高架！保养很好的精装修，中间楼层，业主诚售,2室1厅,78.81平米,南,精装,低楼层(共32层),196,24870,共有
环球188 朝南 一室 小户型 诚意出售,1室1厅,83.94平米,南,精装,中楼层(共56层),465,55397,共有
房东诚意出售，前排无遮挡 小区品质高,2室2厅,102.32平米,南,精装,低楼层(共21层),395,38605,共有
挑高4.95米，朝东复式房，环境优雅，清新，诚心卖,2室2厅,51平米,东,毛坯,中楼层(共11层),67,13138,共有
挑高4.95米，朝东复式房，环境优雅，清新，诚心卖,2室2厅,51平米,东,毛坯,中楼层(共11层),68,13334,共有
世茂运河城和茂苑二期 1室1厅 南,1室1厅,61平米,南,精装,中楼层(共30层),280,45902,共有
金科天籁城 2室2厅 东南,2室2厅,79.6平米,东南,毛坯,中楼层(共17层),168,21106,非共有
园区 青剑湖 精装两室 采光好 看房提前预约。,2室2厅,79.82平米,南 北,精装,低楼层(共17层),243,30444,共有
高品质小区 奢华装修 位置好 楼层好采光好,4室2厅,143平米,南,精装,25层,855,59791,共有
满五唯一中间楼层前后无遮挡视野开阔采光充足诚心出售,2室2厅,74平米,南,毛坯,中楼层(共26层),132,17838,共有
73平小三房，楼层佳，满二年，房东诚心出售,3室2厅,73.04平米,南,精装,低楼层(共3层),118,16156,非共有
大龙港顶复，满五唯一，有固定车位，独库,3室1厅,121.9平米,南,精装,高楼层(共6层),220,18048,非共有
新上象牙新村 两房朝南 自住保养好 满五唯一看房方便,2室1厅,64.45平米,南 东南,精装,中楼层(共7层),154,23895,共有
团结桥地铁口 精装两房 楼层佳 采光好 房东急售,2室1厅,56.38平米,南 北,精装,中楼层(共5层),150,26606,非共有
园区城铁旁，三开间朝南，精装自住，前排采光好,2室2厅,95.28平米,南 北,精装,低楼层(共4层),220,23090,共有
C21力荐 晶蓝3房精装修简约风格可拎包入住,3室1厅,107.8平米,南,精装,高楼层(共17层),160,14843,共有
年华里婚装新房 户型方正  满四年唯一  精装自住,3室2厅,117.71平米,南,精装,30层,528,44857,非共有
此房满五唯一 自住小区唯一一幢统装通透两房，采光好,2室2厅,98.67平米,南 北,精装,高楼层(共25层),358,36283,共有
急出售  楼层好 精装修 户型正 满2年 价格便宜,3室2厅,136.6平米,东南 南,精装,中楼层(共4层),168.8,12358,共有
石湖之韵新上通透两房、装修保养好带自行车库、采光佳,2室2厅,91.38平米,南 北,精装,中楼层(共5层),222,24295,非共有
此房满二，装修风格明显。诚心出售,2室1厅,78.58平米,南,精装,低楼层(共32层),185,23543,非共有
满五唯一 ，地铁口，户型好，总价低！精装修！,2室2厅,99.12平米,南,简装,中楼层(共15层),165,16647,非共有
交通路3511号小区，227省道边，无遮挡，采光好,2室1厅,62.16平米,南,精装,低楼层(共2层),126,20271,共有
新湘苑护城河畔风景优美 平江未用  配套成熟 交通便利,2室1厅,52.66平米,南 北,毛坯,高楼层(共6层),135,25637,非共有
绿地云景太湖边人气聚集地。。。。。。,1室1厅,41.2平米,北,精装,低楼层(共18层),69,16748,共有
金域华府91平带车位及储藏室26平满五 精装拎包入住！,2室2厅,90.45平米,南,精装,中楼层(共30层),205,22665,非共有
全毛坯  可塑性高  业主诚心出售 有钥匙看房方便,1室1厅,47.97平米,南,毛坯,11层,53,11049,共有
越湖家天下满五年，低楼层，简单装修,2室2厅,87.8平米,南,简装,低楼层(共25层),188,21413,共有
房子位置好 前面绿化带 采光无遮挡 速来店咨询,1室2厅,58.85平米,南,精装,中楼层(共18层),205,34835,共有
美乐城挑高公寓  精装  拎包入住,2室1厅,48.57平米,南,精装,中楼层(共17层),65,13383,非共有
小区中间 精装修 好楼层，带独立自行车库，诚心出售,2室2厅,103.38平米,南 北,精装,中楼层(共5层),203,19637,共有
周市公寓出售    装修好    可拎包入住,1室2厅,70平米,南,精装,高楼层(共15层),75,10715,非共有
凤凰城1+1户型  精装修 满五唯一  少税费 随时看,1室1厅,49.04平米,南,精装,中楼层(共18层),152,30996,共有
两房朝南，中间楼层，全天采光好，业主诚心卖,2室1厅,92.32平米,南,毛坯,中楼层(共11层),215,23289,共有
邻医院菜场 买一层得两层  屋东开窗紫气东来,2室2厅,71.52平米,东,精装,中楼层(共12层),72,10068,非共有
配套很方便，楼下就是星汇生活广场,1室0厅,40.8平米,北,精装,高楼层(共6层),113,27697,共有
此房全新毛坯，楼层好，采光通透，诚心出售,1室1厅,52.36平米,南,毛坯,低楼层(共33层),58,11078,非共有
水香二村 2室1厅 南,2室1厅,70平米,南,简装,高楼层(共6层),149,21286,共有
温馨两房，统装修位置好，户型通透，奥体全景，采光好,2室2厅,77.68平米,南,精装,33层,329,42354,共有
西苑新村 4室2厅 南,4室2厅,195平米,南,精装,高楼层(共5层),285,14616,非共有
好房推荐！精装修两房~采光好！,2室1厅,66平米,南,精装,低楼层(共34层),120,18182,共有
此房满5年不唯一，成熟社区生活便利，此房户型方正。,2室1厅,53.5平米,南,简装,低楼层(共3层),145,27103,共有
地铁口，多层3居室，满5年带车库，业主诚心急售，急售,3室2厅,78平米,南,简装,低楼层(共6层),122,15642,共有
低总价 三房  全新毛坯 中间楼层 房东急售  看房方便,3室2厅,90平米,南,毛坯,高楼层(共11层),175,19445,共有
绿地21城C区 精装洋房，带150平大花园！电梯房！,3室2厅,96.47平米,南 北,精装,低楼层(共6层),208,21562,共有
中间楼层 两房南 全明户型 业主急售！急售！,2室1厅,73.5平米,南,简装,中楼层(共6层),174.9,23796,共有
满五唯一 带大露台 房源保养较好 看房也很方便的。,2室2厅,90.2平米,南,精装,低楼层(共29层),202,22395,非共有
复室楼 楼上南北各两个阳光房 首付40万即可 附车库,4室2厅,140平米,南 北,毛坯,高楼层(共18层),165,11786,非共有
满五唯一拎包入住采光无遮挡交通方便,2室1厅,80.27平米,南,精装,低楼层(共25层),185,23048,非共有
苏尚家园 3室2厅 南,3室2厅,85.25平米,南,精装,低楼层(共28层),139,16305,共有
新城招商香溪源 3室2厅 南,3室2厅,95.88平米,南,毛坯,低楼层(共30层),207.5,21642,非共有
